test,min_adult_age,max_adult_age,low_F,low_M,high_F,high_M
TSAB,0.0,120.0,1.0,1.0,2.0,2.0
TSH,18.0,120.0,0.35,0.35,4.94,4.94
TSHX,18.0,120.0,0.35,0.35,4.94,4.94
TSRA,0.0,120.0,0.0,0.0,2.0,2.0
TT,0.0,120.0,12.0,12.0,16.0,16.0
TTG,0.0,120.0,0.0,0.0,9.9,9.9
TTGA,0.0,120.0,0.0,0.0,6.9,6.9
TTR,1.0,120.0,0.8,0.8,1.2,1.2
TUCU,0.0,120.0,0.0,0.0,1.1,1.1
UA,0.0,120.0,0.14,0.2,0.36,0.43
UA24,0.0,120.0,1.5,1.5,4.5,4.5
UAL,0.0,120.0,0.0,0.0,0.5,0.5
UCAC,18.0,120.0,100.0,100.0,450.0,450.0
UCIT,0.0,120.0,1.3,0.6,6.0,4.8
UCYS,0.0,120.0,15.0,15.0,55.0,140.0
UFC,0.0,120.0,0.0,0.0,119.0,119.0
UFCM,0.0,120.0,0.0,0.0,165.0,165.0
UGAL,0.0,120.0,3.0,3.0,80.0,80.0
UHG,0.0,120.0,0.0,0.0,3.0,3.0
ULMR,0.0,120.0,0.0,0.0,0.05,0.05
ULRR,0.0,120.0,0.0,0.0,0.05,0.05
UMCC,15.0,19.0,0.0,0.0,9.0,9.0
UMCC,19.0,120.0,0.0,0.0,5.0,5.0
UMCR,0.0,120.0,0.0,0.0,3.5,2.5
UMET,0.0,120.0,0.0,0.0,1.4,1.9
UN24,0.0,120.0,12.0,12.0,20.0,20.0
UNOR,39.0,59.0,0.0,0.0,3.5,4.3
UNOR,59.0,120.0,0.0,0.0,3.7,4.5
UO24,0.0,120.0,0.04,0.04,0.5,0.5
UOSM,0.0,120.0,50.0,50.0,1200.0,1200.0
UR24,0.0,120.0,428.0,428.0,714.0,714.0
VALP,0.0,120.0,50.0,50.0,100.0,100.0
VB12,0.0,120.0,187.0,187.0,883.0,883.0
VCE,0.0,120.0,3.5,3.5,4.5,4.5
VGAC,0.0,120.0,0.0,0.0,45.0,45.0
VGAK,0.0,120.0,0.0,0.0,100.0,100.0
VIP,0.0,120.0,0.0,0.0,30.0,30.0
VITA,18.0,120.0,0.8,1.1,3.0,3.4
VITE,0.0,120.0,10.2,10.2,39.0,39.0
VRAT,0.0,120.0,0.8,0.8,3.3,3.3
VWAG,0.0,120.0,50.0,50.0,150.0,150.0
VWAT,0.0,120.0,50.0,50.0,150.0,150.0
VWF,0.0,120.0,50.0,50.0,150.0,150.0
VWFC,0.0,120.0,50.0,50.0,175.0,175.0
VWRA,0.0,120.0,50.0,50.0,150.0,150.0
VWRR,0.0,120.0,0.8,0.8,99999.0,99999.0
WBC,16.0,120.0,3.9,3.7,11.1,9.5
WBCT,0.0,120.0,3.0,3.0,11.0,11.0
XA1C,0.0,120.0,0.0,0.0,6.2,6.2
XB12,0.0,120.0,187.0,187.0,883.0,883.0
XBNP,74.0,120.0,0.0,0.0,450.0,450.0
XFER,18.0,120.0,10.0,22.0,204.0,275.0
XFOL,0.0,120.0,3.1,3.1,20.5,20.5
XFT4,18.0,120.0,9.0,9.0,19.0,19.0
XPSA,60.0,70.0,,0.0,,4.0
XPSA,70.0,120.0,,0.0,,4.0
XRF,0.0,120.0,0.0,0.0,30.0,30.0
XTSH,18.0,120.0,0.35,0.35,4.94,4.94
ZA1C,0.0,120.0,20.0,20.0,42.0,42.0
ZN,0.0,120.0,11.5,11.5,24.8,24.8
