"TestFormatRangeID","ActiveRange","TestFormatCode","PrimaryCode","ConditionalCode","ConditionalValue","Fasting","Sex","Age","AgeUnits","RangeDescription","PhoneRangeLow","PhoneRangeHigh","FlagRangeLow","FlagRangeHigh","AlertRangeLow","AlertRangeHigh","AuthorisationRangeLow","AuthorisationRangeHigh","DateValidFrom"
"162","True","ESR","False","@[095608]","TA","False","M","54","Y","(2.0-13)","","","2.0000","13.0000","","","1.0000","30.0000",""
"163","True","ESR","False","@[096408]","TA","False","M","54","Y","(2.0-13)","","","2.0000","13.0000","","","1.0000","30.0000",""
"164","True","ESR","False","","","False","M","54","Y","(2.0-13)","","","2.0000","13.0000","","","1.0000","70.0000",""
"165","True","ESR","False","@[095608]","QTA","False","F","64","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"166","True","ESR","False","@[096408]","QTA","False","F","64","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"167","True","ESR","False","@[095608]","GCA","False","F","64","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"168","True","ESR","False","@[096408]","GCA","False","F","64","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"169","True","ESR","False","@[095608]","TA","False","F","64","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"170","True","ESR","False","@[096408]","TA","False","F","64","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"171","True","ESR","False","","","False","F","64","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","70.0000",""
"172","True","ESR","False","@[095608]","QTA","False","M","64","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"173","True","ESR","False","@[096408]","QTA","False","M","64","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"174","True","ESR","False","@[095608]","GCA","False","M","64","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"175","True","ESR","False","@[096408]","GCA","False","M","64","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"176","True","ESR","False","@[095608]","TA","False","M","64","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"177","True","ESR","False","@[096408]","TA","False","M","64","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","30.0000",""
"178","True","ESR","False","","","False","M","64","Y","(2.0-20)","","","2.0000","20.0000","","","1.0000","70.0000",""
"179","True","ESR","False","@[095608]","QTA","False","F","67","Y","(2.0-27)","","","2.0000","27.0000","","","1.0000","30.0000",""
